rg_id,rg_title,imdb_id,primary_type
209bbe7c-012f-3c5f-af7d-73e21ebb0f86,Casino,tt0112641,Album
698b6eca-e12b-344e-9a63-ef855f1dc740,City of Angels: Music From the Motion Picture,tt0120632,Album
b6afdbb4-dd42-3887-9822-23a8815bbf44,Boys on the Side: Original Soundtrack Album,tt0112571,Album
1007b4bb-513c-3e25-b7ce-70a68a296ad0,Rush,tt0102820,Album
0565454c-f1f2-317f-a93b-458f227d7989,The Client,tt0109446,Album
9577b974-cce5-35b2-82d0-0969e5484a73,The Bodyguard: Original Soundtrack Album,tt0103855,Album
095808f7-2444-3b35-84fd-a3d0b1a2e0f9,Brassed Off!,tt0115744,Album
443726be-82e0-3d6d-ab2a-2de3099b0dde,Pat Garrett & Billy the Kid,tt0070518,Album
18ab56e0-7068-341e-ba17-7fe8eea1a829,The Shawshank Redemption: Original Motion Picture Soundtrack,tt0111161,Album
4b2ae2e6-52b0-312e-b336-477dfbb19b41,Brazil,tt0088846,Album
c12be8d8-bd16-3000-850f-20747e4601b1,Short Eyes,tt0076706,Album
2fc0aa89-f973-3bcd-b126-d6d7113cefb2,Willow,tt0096446,Album
3f7bd371-cf1e-3c26-bba5-5f06926976d0,Harry Potter and the Philosopher’s Stone,tt0241527,Album
2eda9feb-8697-3e4f-b35a-508e0a97093d,Crumb,tt0109508,Album
a3ed6ec1-e0e0-3de7-b0b4-0ed14571ca28,The Cell (Original Motion Picture Soundtrack),tt0209958,Album
35f348db-a1c3-3b15-9795-3c80067d5dfc,Last Action Hero (Music From the Original Motion Picture),tt0107362,Album
f9411331-3a49-35f6-96b5-868ad05dc70e,Remember the Titans,tt0210945,Album
22d45afa-7742-3b8b-a154-c102fe89495c,UHF: Original Motion Picture Soundtrack and Other Stuff,tt0098546,Album
dc1f9d7d-9a98-3f2c-83aa-c16dbb4a9ae1,千と千尋の神隠し サウンドトラック,tt0245429,Album
e3395575-1af7-37c2-a6c2-06c741c687d7,Monsoon Wedding,tt0265343,Album
23b63e85-be33-3b6d-abef-bd42230a7f04,Evita: The Motion Picture Music Soundtrack,tt0116250,Album
9ea03bd1-51e8-3881-a82d-d99c445ddba7,Jin-Roh,tt0193253,Album
480f2a38-e33f-3072-ad12-5ebebfb0c855,Jonathan Livingston Seagull,tt0070248,Album
6085faca-6db9-35dc-9112-10eade903705,Edward Scissorhands,tt0099487,Album
764780f7-dc0e-3b2a-a016-682f6efa9b5f,The Crow: Original Motion Picture Score,tt0109506,Album
7b13eb6a-5a17-372e-9e03-d4f02a94f0cf,Ladyhawke,tt0089457,Album
30f4b015-b063-390a-bda4-85762e680c1b,54: Music From the Miramax Motion Picture,tt0120577,Album
c1e86f57-2f8d-3b80-98cb-aaa4c7ed2e72,Oliver & Company,tt0095776,Album
c287bd8c-246b-3575-8e57-605dce576725,Ainda,tt0110361,Album
9ddb264e-b431-32dd-92ba-6f70452271c1,You Only Live Twice,tt0062512,Album
4ef9145b-85bf-3c79-9639-2dcb887074c0,The Pelican Brief: Music From the Motion Picture Soundtrack,tt0107798,Album
284f1225-1945-3e21-8dd3-8fb0a688565a,Sommersby,tt0108185,Album
80fe84a4-b606-3491-a170-f2ca17501493,Star Wars,tt0076759,Album
9fd8df20-d059-318b-9dbf-1c83c7ebf1bd,Chelsea Walls,tt0226935,Album
159e7144-8276-3d28-bc3d-b415822d4ab4,Yeh Hai Jalwa,tt0328671,Album
38c3631c-3dfe-3ca2-bab1-1fa92bd76e32,The Royal Tenenbaums: Original Soundtrack,tt0265666,Album
ce00b81d-e718-3f0d-bb06-0a8f380d6181,What’s Love Got to Do With It,tt0108551,Album
8100f5e4-3091-3a5f-bc36-933547797229,Babylon 5: Thirdspace,tt0121804,Album
94046081-c2a4-38d3-a6f5-0f8d666295a7,Planet of the Apes: Original Motion Picture Soundtrack,tt0133152,Album
9635e642-8321-3024-99f2-abe8f6af51f3,Le Fabuleux Destin d’Amélie Poulain,tt0211915,Album
b2f7c174-fec9-3555-be94-6a5b82651022,Babylon 5: Sleeping in Light,tt0517691,Album
ede551fc-365d-3328-bbb6-5293e35d6d7f,Star Wars Trilogy: The Original Soundtrack Anthology,tt0076759,Album
34e9f177-37a9-324d-8719-4bd72c7aa040,Les Misérables: In Concert at the Royal Albert Hall,tt0113637,Album
2fe039a6-58ab-39bd-b6e0-e00079bec284,Not Another Teen Movie,tt0277371,Album
